index,caption_key,original_filename,preprocessed_file,subject,style_tags,training_caption,pixel_mean_abs_diff
0,00000,img_1_1_0409(5362)_Scan_edit.jpg,00000.png,twisted barren trees,landscape|expressive|contrast,"A landscape of twisted, barren trees dominates the foreground, their gnarled branches reaching across the scene. The ink wash technique uses bold, expressive brush strokes to capture the rugged texture of the trees, with sparse ink creating a stark contrast against the white background. The distant hills are rendered with lighter strokes, adding depth and a sense of desolation, landscape, expressive, contrast, traditional ink wash painting",0.0
1,00001,img_1_1_0211(2027)_Scan_edit.jpg,00001.png,canyon landscape,landscape|ink wash|serene,"A vast canyon landscape stretches across the middle ground, with rugged rock formations in the foreground. The ink wash technique uses bold, textured brush strokes for the rocks, while lighter washes depict the distant horizon and sky. Sparse clouds are rendered with soft, diluted ink, creating a serene and expansive atmosphere, landscape, ink wash, serene, traditional ink wash painting",0.0
2,00002,img_1_1_0042(6139)_Scan_edit.jpg,00002.png,coastal landscape with cliffs and mountain,landscape|ink wash|negative space,"A rugged coastal landscape with cliffs on the left and a distant mountain on the right, viewed from a low angle. The ink wash technique uses fine, detailed brush strokes to depict the rocky textures and flowing water. The composition employs negative space to emphasize the vastness of the scene, creating a serene and expansive atmosphere, landscape, ink wash, negative space, traditional ink wash painting",0.0
3,00003,img_2_1_0094.p(1825)_Scan_edit.jpg,00003.png,,,,0.0
4,00004,img_1_1_0329.p(4994)_Scan_edit.jpg,00004.png,waterfall and mountains,landscape|waterfall|mountains,"A vast landscape with a dramatic waterfall cascading down the center, framed by distant mountains under a cloudy sky. The brushwork is bold, with dense ink strokes defining the waterfall and lighter washes creating a misty atmosphere. The use of negative space enhances the depth and movement of the water, evoking a serene yet powerful mood, landscape, waterfall, mountains, traditional ink wash painting",0.0
5,00005,img_1_1_0283(6089)_Scan_edit.jpg,00005.png,waterfall and river,landscape|dynamic|expressive,"A dynamic landscape featuring a cascading waterfall on the right, with rugged cliffs and dense foliage. The river flows energetically through the center, bordered by a rocky path on the left. Bold, expressive brush strokes depict the cliffs, while softer washes capture the water's movement. The use of negative space enhances the sense of depth and tranquility, landscape, dynamic, expressive, traditional ink wash painting",0.0
6,00006,img_3_1_0527(1259)_Scan_edit.jpg,00006.png,bottle and onions,detailed|realistic|minimalist,"A bottle of macadamia nut oil is centrally placed, surrounded by three onions. The composition uses fine, detailed brush strokes to define the bottle's label and the onions' textures. The ink density varies, with darker lines for outlines and lighter washes for shading, creating a realistic yet minimalist feel. The atmosphere is calm and balanced, detailed, realistic, minimalist, traditional ink wash painting",0.0
7,00007,img_3_1_0142.p(79)_Scan_edit.jpg,00007.png,classical guitar,detailed|realistic|serene,"A classical guitar is depicted with a focus on the body and neck, angled diagonally across the canvas. The brushwork is detailed, with fine lines for the strings and intricate patterns around the sound hole. The ink varies in density, creating a realistic texture on the wood, while negative space highlights the guitar's form. The mood is serene and contemplative, detailed, realistic, serene, traditional ink wash painting",0.0
8,00008,img_3_1_0605(2400)_Scan_edit.jpg,00008.png,gramophone,monochrome|bold strokes|negative space,"A gramophone is centrally placed, depicted with bold, sweeping brush strokes that create a sense of depth and texture. The ink varies in density, highlighting the metallic sheen and intricate details of the horn and base. The use of negative space emphasizes the object’s form, creating a nostalgic and contemplative atmosphere, monochrome, bold strokes, negative space, traditional ink wash painting",0.0
9,00009,img_3_1_0187(1955)_Scan_edit.jpg,00009.png,refrigerator,minimalism|bold strokes|negative space,"A refrigerator is depicted with its upper door slightly open, positioned centrally in the composition. The artist uses bold, confident brush strokes to outline the appliance, with varying ink density to suggest depth and dimension. The minimalistic approach and use of negative space create a calm, contemplative atmosphere, minimalism, bold strokes, negative space, traditional ink wash painting",0.0
10,00010,img_3_1_0071.p(436)_Scan_edit.jpg,00010.png,gourmet burger,detailed|realistic|monochrome,"A detailed ink wash painting of a gourmet burger, centered and viewed from the side. The brushwork captures the texture of the bun, lettuce, and layers of ingredients with varying ink densities. The olives on top add a focal point, highlighted by subtle gradients. The monochrome palette creates a realistic yet artistic atmosphere, detailed, realistic, monochrome, traditional ink wash painting",0.0
11,00011,img_3_1_0472(2769)_Scan_edit.jpg,00011.png,high-heeled shoes,elegant|monochrome|detailed,"A pair of elegant high-heeled shoes is depicted with one shoe placed in the foreground and the other slightly behind. The ink wash technique uses fine, controlled brush strokes to define the contours and details, with subtle gradients creating a sense of depth and texture. The monochrome palette enhances the sophisticated and graceful atmosphere, elegant, monochrome, detailed, traditional ink wash painting",0.0
12,00012,img_2_1_0029(489)_Scan_edit.jpg,00012.png,young girl with wavy hair,portrait|fine brushwork|monochrome,"A young girl with long, wavy hair is depicted in a three-quarter view, her gaze directed towards the viewer. The ink wash technique showcases delicate, fine brush strokes for hair texture, with subtle gradients capturing facial features. The monochrome palette emphasizes the softness and innocence of the expression, creating a serene and contemplative mood, portrait, fine brushwork, monochrome, traditional ink wash painting",0.0
13,00013,img_2_1_0159(1818)_Scan_edit.jpg,00013.png,,,,0.0
14,00014,img_1_1_0284(6334)_Scan_edit.jpg,00014.png,rugged landscape with driftwood,landscape|dynamic brushwork|dramatic,"A rugged landscape with twisted driftwood in the foreground, framed by towering cliffs on either side. The brushwork is dynamic, with bold, sweeping strokes for the cliffs and delicate lines for the driftwood. The ink varies from dense black to light washes, creating depth and texture. The atmosphere is dramatic and wild, evoking a sense of untamed nature, landscape, dynamic brushwork, dramatic, traditional ink wash painting",0.0
15,00015,img_3_1_0087(1212)_Scan_edit.jpg,00015.png,still life with jar and apples,still life|detailed brushwork|negative space,"A still life composition featuring a jar of preserves placed centrally, surrounded by apples and a woven basket in the background. The brushwork is detailed with fine lines and varying ink densities, capturing the textures of the basket and the smooth surfaces of the fruit. The use of negative space enhances the focus on the objects, creating a serene and contemplative atmosphere, still life, detailed brushwork, negative space, traditional ink wash painting",0.0
